"","month","year","ORIGIN","DEST","Flights"
"147",2,2000,"FAT","SEA",1
"148",2,2000,"FCA","SEA",2
"149",2,2000,"GEG","SEA",10
"150",2,2000,"GTF","SEA",1
"151",2,2000,"HLN","SEA",1
"152",2,2000,"HNL","SEA",2
"153",2,2000,"IAD","SEA",3
"154",2,2000,"IAH","SEA",1
"155",2,2000,"JFK","SEA",3
"156",2,2000,"JNU","SEA",3
"157",2,2000,"KTN","SEA",3
"158",2,2000,"LAS","SEA",5
"159",2,2000,"LAX","SEA",9
"160",2,2000,"LWS","SEA",1
"161",2,2000,"MCI","SEA",1
"162",2,2000,"MDW","SEA",1
"163",2,2000,"MEM","SEA",1
"164",2,2000,"MFR","SEA",1
"165",2,2000,"MIA","SEA",2
"166",2,2000,"MSO","SEA",1
"167",2,2000,"MSP","SEA",5
"168",2,2000,"MWH","SEA",1
"169",2,2000,"OAK","SEA",7
"170",2,2000,"ORD","SEA",9
"171",2,2000,"PDX","SEA",7
"172",2,2000,"PHL","SEA",2
"173",2,2000,"PHX","SEA",7
"174",2,2000,"PIT","SEA",2
"175",2,2000,"PUW","SEA",1
"176",2,2000,"RDM","SEA",1
"177",2,2000,"RNO","SEA",6
"178",2,2000,"SAN","SEA",3
"179",2,2000,"SEA","ABI",1
"180",2,2000,"SEA","ABQ",1
"181",2,2000,"SEA","ALW",1
"182",2,2000,"SEA","ANC",9
"183",2,2000,"SEA","ATL",4
"184",2,2000,"SEA","BIL",1
"185",2,2000,"SEA","BLI",1
"186",2,2000,"SEA","BNA",1
"187",2,2000,"SEA","BOS",1
"188",2,2000,"SEA","BTM",1
"189",2,2000,"SEA","BZN",1
"190",2,2000,"SEA","CLE",1
"191",2,2000,"SEA","CLM",1
"192",2,2000,"SEA","CLT",1
"193",2,2000,"SEA","CVG",2
"194",2,2000,"SEA","DET",1
"195",2,2000,"SEA","DFW",3
"196",2,2000,"SEA","DTW",3
"197",2,2000,"SEA","EAT",1
"198",2,2000,"SEA","EKO",1
"199",2,2000,"SEA","EUG",1
"200",2,2000,"SEA","EWR",2
"201",2,2000,"SEA","FAI",1
"202",2,2000,"SEA","FAT",1
"203",2,2000,"SEA","FCA",2
"204",2,2000,"SEA","GEG",10
"205",2,2000,"SEA","GTF",1
"206",2,2000,"SEA","HLN",1
"207",2,2000,"SEA","HNL",2
"208",2,2000,"SEA","IAD",4
"209",2,2000,"SEA","IAH",1
"210",2,2000,"SEA","JFK",4
"211",2,2000,"SEA","JNU",3
"212",2,2000,"SEA","KTN",3
"213",2,2000,"SEA","LAS",5
"214",2,2000,"SEA","LAX",9
"215",2,2000,"SEA","LWS",1
"216",2,2000,"SEA","MCI",1
"217",2,2000,"SEA","MEM",2
"218",2,2000,"SEA","MFR",1
"219",2,2000,"SEA","MIA",2
"220",2,2000,"SEA","MKE",1
"221",2,2000,"SEA","MSO",1
"222",2,2000,"SEA","MSP",4
"223",2,2000,"SEA","MWH",1
"224",2,2000,"SEA","OAK",6
"225",2,2000,"SEA","OGG",1
"226",2,2000,"SEA","ORD",9
"227",2,2000,"SEA","PDX",10
"228",2,2000,"SEA","PHL",1
"229",2,2000,"SEA","PHX",6
"230",2,2000,"SEA","PIT",2
"231",2,2000,"SEA","PUW",1
"232",2,2000,"SEA","RDM",1
"233",2,2000,"SEA","RNO",8
"234",2,2000,"SEA","SAN",3
"235",2,2000,"SEA","SBA",2
"236",2,2000,"SEA","SFO",8
"237",2,2000,"SEA","SJC",8
"238",2,2000,"SEA","SLC",7
"239",2,2000,"SEA","SMF",6
"240",2,2000,"SEA","SNA",4
"241",2,2000,"SEA","STL",3
"242",2,2000,"SEA","TUL",1
"243",2,2000,"SEA","TUS",1
"244",2,2000,"SEA","TWF",1
"245",2,2000,"SEA","YKM",1
"246",2,2000,"SFO","SEA",7
"247",2,2000,"SJC","SEA",9
"248",2,2000,"SLC","SEA",5
"249",2,2000,"SMF","SEA",6
"250",2,2000,"SNA","SEA",4
"251",2,2000,"STL","SEA",2
"252",2,2000,"TWF","SEA",1
"253",2,2000,"YKM","SEA",1
"254",3,2000,"ABQ","SEA",1
"255",3,2000,"ALW","SEA",1
"256",3,2000,"ANC","SEA",12
"257",3,2000,"ATL","SEA",2
"258",3,2000,"BIL","SEA",1
"259",3,2000,"BLI","SEA",1
"260",3,2000,"BNA","SEA",1
"261",3,2000,"BOS","SEA",1
"262",3,2000,"BTM","SEA",1
"263",3,2000,"BZN","SEA",2
"264",3,2000,"CLM","SEA",1
"265",3,2000,"CLT","SEA",1
"266",3,2000,"CVG","SEA",2
"267",3,2000,"DET","SEA",1
"268",3,2000,"DFW","SEA",4
"269",3,2000,"DTW","SEA",2
"270",3,2000,"EAT","SEA",1
"271",3,2000,"EKO","SEA",1
"272",3,2000,"EUG","SEA",1
"273",3,2000,"EWR","SEA",2
"274",3,2000,"FAI","SEA",1
"275",3,2000,"FAT","SEA",1
"276",3,2000,"FCA","SEA",2
"277",3,2000,"GEG","SEA",8
"278",3,2000,"GTF","SEA",1
"279",3,2000,"HLN","SEA",1
"280",3,2000,"HNL","SEA",3
"281",3,2000,"IAD","SEA",3
"282",3,2000,"IAH","SEA",1
"283",3,2000,"JFK","SEA",3
"284",3,2000,"JNU","SEA",3
"285",3,2000,"KTN","SEA",3
"286",3,2000,"LAS","SEA",6
"287",3,2000,"LAX","SEA",9
"288",3,2000,"LWS","SEA",1
"289",3,2000,"MCI","SEA",2
"290",3,2000,"MDW","SEA",1
"291",3,2000,"MEM","SEA",1
"292",3,2000,"MFR","SEA",1
"293",3,2000,"MIA","SEA",1
"294",3,2000,"MSO","SEA",1
"295",3,2000,"MSP","SEA",7
"296",3,2000,"MWH","SEA",2
"297",3,2000,"OAK","SEA",7
"298",3,2000,"ORD","SEA",8
"299",3,2000,"PDT","SEA",1
"300",3,2000,"PDX","SEA",9
"301",3,2000,"PHL","SEA",2
"302",3,2000,"PHX","SEA",7
"303",3,2000,"PIT","SEA",2
"304",3,2000,"PUW","SEA",1
"305",3,2000,"RDM","SEA",1
"306",3,2000,"RNO","SEA",6
"307",3,2000,"SAN","SEA",2
"308",3,2000,"SEA","ABQ",1
"309",3,2000,"SEA","ALW",1
"310",3,2000,"SEA","AMA",1
"311",3,2000,"SEA","ANC",9
"312",3,2000,"SEA","ATL",4
"313",3,2000,"SEA","BHM",1
"314",3,2000,"SEA","BIL",1
"315",3,2000,"SEA","BLI",1
"316",3,2000,"SEA","BNA",1
"317",3,2000,"SEA","BOS",1
"318",3,2000,"SEA","BTM",2
"319",3,2000,"SEA","BZN",1
"320",3,2000,"SEA","CLM",1
"321",3,2000,"SEA","CLT",1
"322",3,2000,"SEA","CVG",2
"323",3,2000,"SEA","DET",1
"324",3,2000,"SEA","DFW",3
"325",3,2000,"SEA","DTW",4
"326",3,2000,"SEA","EAT",1
"327",3,2000,"SEA","EKO",1
"328",3,2000,"SEA","ELP",1
"329",3,2000,"SEA","EUG",1
"330",3,2000,"SEA","EWR",2
"331",3,2000,"SEA","FAI",1
"332",3,2000,"SEA","FAT",1
"333",3,2000,"SEA","FCA",2
"334",3,2000,"SEA","GEG",8
"335",3,2000,"SEA","GJT",1
"336",3,2000,"SEA","GTF",2
"337",3,2000,"SEA","HLN",1
"338",3,2000,"SEA","HNL",3
"339",3,2000,"SEA","IAD",3
"340",3,2000,"SEA","IAH",2
"341",3,2000,"SEA","JFK",3
"342",3,2000,"SEA","JNU",3
"343",3,2000,"SEA","KTN",3
"344",3,2000,"SEA","LAS",6
"345",3,2000,"SEA","LAX",8
"346",3,2000,"SEA","LWS",1
"347",3,2000,"SEA","MCI",1
"348",3,2000,"SEA","MEM",2
"349",3,2000,"SEA","MFR",1
"350",3,2000,"SEA","MIA",1
